id,slug,name,website,google_place_id,instagram,neighborhood
623cec55-60f5-4910-8277-e64a1d6e0358,granada,Granada,https://granada-la.com/,ChIJb_FxThrHwoAR5vLcOXrnCtc,,Echo Park
ea211d22-2b21-4800-acd4-01f9c705a119,woodcat-coffee,Woodcat Coffee,http://woodcatcoffee.com/,ChIJ1TpO3RzHwoARFhUWvGyrsf0,,
e065c6b6-f91f-440c-9653-6edee73eb761,the-hummingbird-|-ceviche-house,The Hummingbird | Ceviche House,https://thehummingbirdla.com/,ChIJTd_4WgDHwoAR3G1iC-Yrq6w,,Echo Park
aa11d03f-9345-42b8-b817-34b455be990c,dada-echo-park,DADA ECHO PARK,https://www.dadaechopark.com/,ChIJje8WdpLHwoARJqzl2xsrZkc,,Echo Park
a2cabea9-55cc-4b88-829e-a4c327f72118,laveta,Laveta,https://gourme.top/businesses/laveta,ChIJmehuWGLHwoARsQ1AqMOtOJs,,Echo Park
9e6869d5-400e-4828-8500-98fbc66a4842,le-txamara,Le Txamara,https://www.txamara.com/,ChIJe41AWJoTUQ0R7mHAb35UTHk,null,null
f0c41122-d4a1-430a-9fcd-344af90fc78d,50-rue-d-espagne,50 Rue d'Espagne,null,ChIJiWYNZitrUQ0RvKdS1MXBUh0,null,null
53a815d6-ef83-467e-be12-c63609289f2f,oc-lau-restaurant-garden-grove,Oc & Lau Restaurant,https://oclaurestaurant.com/,ChIJIxbGYcQn3YAR5m4f2kVYyuw,,Garden Grove
894fc963-b50d-4428-b374-6dba73e8c706,ohana-superette,Ohana Superette,http://www.ohanasuperette.la/,ChIJ9THZtD_HwoARHbQuHXAPOdY,,
10da04a9-d760-4dc0-819e-3f56189b1a0d,gucci-osteria-da-massimo-bottura-restaurant-2-michelin-1-michelin-star-beverly-h,Gucci Osteria da Massimo Bottura,https://www.gucciosteria.com/en/beverlyhills/?y_source=1_MTU0MDI1NDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJmY8Ttaa7woARqE-Ss5DafEo,,
da1e51d7-bac4-4fb5-99a6-dfc35b19fab0,ahpe-restaurant,ahpe Restaurant,http://ahpe-restaurant.fr/,ChIJR1Pre8cVUQ0RNkrumWDP0HI,null,null
1466d85c-beb9-4b17-912b-f5462beff6d0,bavel-restaurant-1-arts-district-middle-eastern-same-owners-as-bestia,Bavel,https://baveldtla.com/,ChIJAQDw5jzGwoARJ0ddsqWyCAQ,,
3d59b8a7-5c52-4913-8303-79e26b3ecc0f,ethel-s-grill,Ethel's Grill,null,ChIJfx5B2VxuAHwRQvhZNe-MRU8,null,null
47e1ecb4-bf94-45e9-82f9-70b5c7ec9089,the-west-hollywood-edition-hotel-hotel-boutique-ian-schrager-west-hollywood-19-9,The West Hollywood EDITION,https://www.marriott.com/en-us/hotels/laxeb-the-west-hollywood-edition/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,ChIJr7tLCKG-woARNVvQTdKErgU,,
3398bcf3-ebc8-4807-900a-99d09531afd4,50-rue-d-espagne-42ot,50 Rue d'Espagne,null,ChIJRaNfDoxAUQ0RC8H-SuesFs4,null,null
5528aec8-3133-49cc-9bc3-2727fae5ece1,littered-with-books,Littered with Books,https://www.facebook.com/pages/Littered-with-Books/153135064725041,ChIJzREvXm0Z2jER7tyytx5xIvA,null,null
2e340eaa-2fa7-4353-9f8c-91c20cf3f42d,little-fish-echo-park,Little Fish Echo Park,https://littlefishechopark.com/,ChIJCWc7fhHHwoARXg2bZCd7D-8,,Echo Park
